entry_key,first_author,country_alpha3
,"Pakusa, Wied",COM
,"Kieroński, Emanuel",COM
,"Fairweather, Elliot",COM
,"Bakel, Steffen Van",COM
,"Tubella, Andrea Aler",COM
,"Xiao, Nan",COM
,"Xu, Bo",COM
,"Hannula, Miika",COM
,"Schröder, Lutz",COM
,"Bertl, Markus",BVT
,"Li, Xiaoxu",BVT
,"Wu, Wancheng",BVT
,"Alenazi, Abdulaziz",BVT
,"Camellini, Filippo",BVT
,"Bruni, V.",BVT
,"Angelo, Lady",BVT
,"Kumar, Rakesh",BVT
,"Akgüller, Ömer",BVT
,"Alt, Helmut",BVT
,"Vabishchevich, P.N.",BVT
,"Yu, Tianchi",BVT
,"Khaire, Utkarsh Mahadeo",BVT
,"Strohbeck, Paula",BVT
,"Dang, Thi Tam",BVT
,"Xie, Wei",BVT
,"Barrera, Domingo",BVT
,"Subramanian, C.R.",BVT
,"Garcés, Inmaculada",BVT
,"Gao, Xi",BVT
,"Xue, Zhengyang",BVT
,"Jansen, Maarten",BVT
,"Wang, Housen",BVT
,"Wu, Caiying",BVT
,"Özarslan, Mehmet Ali",BVT
,"Cai, Xiaomin",BVT
,"Xu, Wei",BVT
,"Lim, Eunji",BVT
,"Perera, Sirani M.",BVT
,"Ágoston, Péter",BVT
,"Evirgen, Fırat",BVT
,"Dou, Yuqi",BVT
,"Huang, Zhengge",BVT
,"Currier, Gabriel",BVT
,"Wen, Jiao",BVT
,"Vrins, Frédéric",BVT
,"Biniaz, Ahmad",BVT
,"Tülek, Abdullah",BVT
,"Muñoz Rivera, Jaime",BVT
,"Zhang, Jia-Rui",BVT
,"Badahmane, A.",BVT
,"Peng, Shanshan",BVT
,"Wembe, B.",BVT
,"Abalı, Serenay",BVT
,"Wang, Juan",BVT
,"Kozhan, Rostyslav",BVT
,"Huertas, Edmundo J.",BVT
,"Fan, Xin",BVT
,"Kim, Dae San",BVT
,"Wang, Danxia",BVT
,"De Luca, Pasquale",BVT
,"Azzarone, Beatrice",BVT
,"Xu, Shu",BVT
,"Shivanian, Elyas",BVT
,"Liu, Yu",BVT
,"Tercero-Báez, Ana",BVT
,"Zhi, Yuan",BVT
,"Kumar, D.",BVT
,"Borgatti, Lisa",BVT
,"Postavaru, Octavian",BVT
